word,freq
토요판,8
커버,11
스토리,10
부동산대책,76
열흘,13
점검,40
발표,302
전국,164
부동산,219
시장,342
겹겹,2
규제,174
지역,391
주택,382
거래,162
절벽,23
현상,53
서울,725
강남구,37
대표,387
재건축,85
단지,139
개포,8
주공,14
대책,270
후,257
일주일,16
사이,101
급매,19
물이,26
건,370
투기지역,57
지정,59
조합원,41
지위,26
양도,75
금지,86
기간,157
보유,109
승계,41
물건,22
호가,10
만,1209
억,578
원,1105
이상,362
사람,467
발길,13
뚝,8
개,561
구,73
묶인,6
세종시,12
양도소득세,14
폭탄,35
피,111
분양,205
매물,33
웃돈,10
프리미엄,20
이,1707
역시,95
겨냥,32
고,1468
강도,49
세무조사,33
겹,16
강남,89
일부,155
중개업,16
소,45
아예,23
문,237
정부,793
추가,208
때,644
잠정,3
휴업,3
상태,91
지속,62
것,2722
전망,124
이번,349
여파,17
아파트,196
값,36
지난해,400
월,1218
말,1145
이후,314
주,139
하락,69
세로,20
일,2437
한국,1906
감정,33
첫째,16
기준,217
매매,39
집중,93
직격탄,15
주간,14
상,34
승률,11
처음,186
마이너스,9
를,627
고삐,2
대출,237
회피,7
위,722
풍선,17
효과,146
발생,102
금융감독원,14
구입,56
신용,37
담보,51
인정,77
비율,108
계산,25
합산,11
시중,18
은행,111
공문,8
무,89
실수,47
정책,255
디딤돌대출,16
도,271
실,112
거주,67
자만,6
이용,150
수,1617
의무,59
제도,121
도입,138
대한,507
강화,194
데,243
지방세,12
율도,4
오른,57
행정안전부,8
지방,56
소득세,36
포인트,84
이상은,4
더,534
내용,176
관계,82
법,144
개정안,39
입법,43
예고,22
관련,483
기사,1277
청약,108
가점,36
돈,118
울고싶어라,6
땐,62
종부세,10
유력,24
상한,17
제,387
준비,174
년,2002
약정,17
가능,38
투자,224
장려,18
집,241
소나기,10
일단,51
사면,12
보기,220
창무,1
한양대,10
교수,290
도시공학,1
수요,151
원활,5
이대,11
흐름,18
결과,180
초래,15
우려,160
간,145
매수,20
뜸,1
과열,82
진정,26
기대,61
실종,4
급락,10
강북,6
눈치,10
봐,49
특수,44
예상,118
법원,35
경매,13
낙찰,11
가율,4
변곡점,3
뒤,1378
첫,220
나선,65
마포구,12
공덕동,1
공덕,1
리더,10
스,115
뷰,8
개포로,1
연,163
본보기,9
약,205
명,708
오전,155
방문객,17
줄,130
서기,16
오후,150
대기,46
바로,66
입장,81
직전,30
지난달,250
상암동,3
에코,8
첫날,9
포함,179
사흘,20
린,26
딴판,1
익명,9
요구,140
건설,141
관계자,233
전매,22
대폭,35
자,101
위주,29
전,921
영향,111
재개발,38
등,1778
전반,42
가격,104
채,149
은희,7
얼마,33
안,1415
노원구,7
상계동,2
신상,6
신,111
완수,2
보고,183
나,170
살,102
아현동,1
월드,51
이진형,1
전화,52
가끔,6
뿐,63
게,274
며,477
한숨,14
온도,21
차,335
냉기,1
류,23
부산,141
경기,376
성남시,15
확산,34
당초,39
서면,5
반사,12
이익,55
관망,7
수영구,4
남천동,1
삼익,2
비치,7
타운,34
건의,14
분당,13
고양시,9
일산,4
기,174
신도시,19
덕양구,1
화정동,1
전세,18
지금,179
귀띔,8
다만,94
인기,84
누렸,2
서구,13
신청,78
대신,77
푸르지오,8
모집,32
평균,114
경쟁률,17
경남,35
김해시,1
주촌면,1
김해,14
주촌,1
두산위브더제니스,1
수십,26
명의,105
다방,1
이동식,3
신규,61
공급,120
누린,4
분석,164
조짐,5
세,291
찬,26
바람,47
불,73
정보,143
전문,114
업체,157
지지,52
옥션,2
달,288
대비,115
은,282
로,471
월보,2
올해,311
유지,113
참여,111
응,10
수도,105
과,200
비교,67
반,75
토막,3
이창동,1
선임,30
연구,200
위원,110
아직,88
중심,122
다른,241
전문가,125
의도,38
대로,31
단기간,3
성공,171
진단,28
김신조,1
내외,8
주건,1
신호,14
계속,112
당분간,25
지배,19
김규정,3
증권,32
어디,31
얼마나,37
방침,62
매도,22
모두,204
뚜렷,7
움직임,33
보이지,23
예정,192
흥행,10
성,67
패가,4
거,81
각종,56
불패,10
구체화,6
주애진,10
천,25
호성,8
강성휘,7
기자,932
추천,2981
창,1065
해진,22
베스트,996
뉴스,1067
사설,1085
통상,1073
임금,1076
해외,1138
산업,1226
파업,1024
문재인,1196
대통령,1775
아이,1116
오늘,1078
내일,1010
박정훈,996
트럼프,1412
날,1390
쿵,986
버스,2071
승객,995
노선,1024
이탈,990
병원,1121
직행,990
횡설수설,1003
하종,990
미치광이,1001
협상,1064
전략,1153
화염,1031
분노,1045
종말,1018
파멸,1005
최후,1023
통첩,999
경고,1078
억류,20
웜,1
비어,3
송환,5
접촉,23
도널드,77
미국,753
행정부,47
초,224
강경,42
책,217
이면,27
북한,858
외교,152
탈출,13
모색,24
통신,60
보도,74
중인,71
시민,91
북,78
안건,3
논,13
채널,33
동안,135
뉴욕,54
통,37
조,352
윤,30
국무부,44
대북,221
특별,54
박성,4
주유,3
부,176
차석,1
대사,73
간의,12
설명,186
핵,139
미사일,231
도발,190
긴장,52
존재,45
알,121
인사,175
만남,18
기초,48
초기,25
